Gene Symbol,Gene Name,Entrez GeneID,Alternate Names,Chromosome Number,Chromosomal Location,UniprotID,OMIM,Molecular Function,Support for Autism,Evidence of Support,Number of gene association studies,Number of positive association studies,Positive Reference,Number of negative association studies,Negative Reference,Primay Reference,Most cited,Most Recent,Supporting
ADNP,Activity-dependent neuroprotector homeobox,23394,ADNP1,20,20q13.13,Q9H2P0,611386,"Potential transcription factor that may mediate some of the neuroprotective peptide VIP-associated effects involving normal growth and cancer proliferation. In brain, expression is stronger in the cerebellum and cortex regions.",Rare Single Gene variant,"Recurrent mutations in the ADNP gene have been identified in multiple individuals with ASD as described below. Two de novo frameshift variants in ADNP were identified in unrelated simplex ASD cases in two reports by O'Roak and colleagues in 2012 (PMIDs 22495309 and 23160955). An additional seven de novo LoF variants were identified in patients with ASD in Helsmoortel et al., 2014, giving a current total of nine de novo LoF variants in ADNP gene in ASD cases; the probability of detecting eight or more de novo truncating events in ADNP was given as P=2.65 x 10-18 in this report (PMID 24531329). Furthermore, the frequency of shared clinical characteristics in ASD cases with LoF variants in ADNP (intellectual disability, facial dysmorphisms) led Helsmoortel and colleagues to conclude that ADNP mutations resulted in an autism syndrome. Analysis of rare coding variation in 3,871 ASD cases and 9,937 ancestry-matched or paternal controls from the Autism Sequencing Consortium (ASC) in De Rubeis et al., 2014 identified ADNP as a gene meeting high statistical significance with a FDR  0.01, meaning that this gene had a  99% chance of being a true autism gene (PMID 25363760). This gene was identified in Iossifov et al. 2015 as a strong candidate to be an ASD risk gene based on a combination of de novo mutational evidence and the absence or very low frequency of mutations in controls (PMID 26401017).  A two-stage analysis of rare de novo and inherited coding variants in 42,607 ASD cases, including 35,130 new cases from the SPARK cohort, in Zhou et al., 2022 identified ADNP as a gene reaching exome-wide significance (P < 2.5E-06).",82,0,,0,,22495309,,"24531329,25169753,25178163,25363760,25646590,26401017,29724491,31664177,36879130,37086723","23160955,25057125,25081361,25418537,25533962,26168855,26402605,26637798,26845707,27031564,27479843,27525107,27824329,27848944,28191889,28263302,28407407,28475273,28579975,28708303,29286531,29424797,29475819,29780943,29899371,30107084,30504930,30555518,30564305,30675382,30679581,31029150,31038196,31127536,31130284,31406558,31452935,31981491,32275126,32714933,33004838,33590427,33624935,34356170,34615535,34865853,35183220,35322241,35538192,35571021,35775424,35813072,35887114,35982159,36230962,36475376,36553633,36631597,36669790,36828924,36980980,37035742,37063667,37365244,37460657,37506195,37943464,38204290,38254177,38424297,38438125"
ADORA2A,adenosine A2a receptor,135,RDC8; hA2aR; ADORA2,22,22q11.23,P29274,102776,The encoded protein is a receptor subtypes for adenosine,Genetic association,"Genetic association has been found between the ADORA2A gene and autism in a Caucasian sample (Freitag et al., 2010).",7,0,,0,,19565319,"7953635,9262401","18184569,18832607,18953346,19443488",
ADORA3,Adenosine A3 receptor,140,"RP11-552M11.7, A3AR, AD026, bA552M11.5",1,1p13.2,P33765,600445,"This gene encodes a protein that belongs to the family of adenosine receptors, which are G-protein-coupled receptors that are involved in a variety of intracellular signaling pathways and physiological functions. The receptor encoded by this gene mediates a sustained cardioprotective function during cardiac ischemia, it is involved in the inhibition of neutrophil degranulation in neutrophil-mediated tissue injury, it has been implicated in both neuroprotective and neurodegenerative effects, and it may also mediate both cell proliferation and cell death.",Functional,"Sequencing of the ADORA3 gene in a case-control sample showed an overall increase in rare coding variants in ASD cases vs. controls (P=0.013); among the case-specific ADORA3 coding variants were two rare missense variants (Leu90Val and Val171Ile) that affected activity of SERT, the gene product of the ASD-associated gene SLC6A4 (Campbell et al., 2013).",4,0,,0,,23953133,,,"21705486,35982159,37506195"
ADRB2,"adrenergic, beta-2-, receptor, surface",154,"BAR, B2AR, ADRBR, ADRB2R, BETA2AR",5,5q32,P07550,109690,This gene encodes beta-2-adrenergic receptor which is a member of the G protein- coupled receptor superfamily.,Genetic Association,Studies have found genetic association between the ADRB2 gene and autism. Association was found in the AGRE cohort along with additional samples.,10,1,16417856,0,,17199132,"8837779,9363896","17175110,17179741,17952055,17962520,18485874,20805681",
ADSL,adenylosuccinate lyase,158,,22,22q13.1,P30566,608222,The encoded protein mediates de novo synthesis of purines and formation of adenosine monophosphate from inosine monophosphate.,Rare Single Gene variant,"This gene has been associated with syndromic autism, where a subpopulation of individuals with a given syndrome develop autism. Rare mutations in the ADSL gene have been found. For example, one study (Sivendran et al., 2004) found an autistic individual with two heterozygous ADSL mutations.",9,0,,0,,15471876,"1302001,6150139",16403972,"26539891,29286531,34582790,34800434,35982159"
ADSS2,adenylosuccinate synthase 2,159,"ADEH, ADSS, ADSS 2",1,1q44,P30520,103060,This gene encodes the enzyme adenylosuccinate synthetase which catalyzes the first committed step in the conversion of inosine monophosphate to adenosine monophosphate.,Rare single gene variant,"A de novo splice-site variant in the ADSS2 gene (formerly known as ADSS) was identified in an ASD proband from the Autism Sequencing Consortium in De Rubeis et al., 2014, while a de novo missense variant in this gene was identified in a Canadian ASD proband in Tammimies et al., 2015.  TADA analysis of 4,504 ASD trios and 3,012 unaffected control/siblings trios from trio-based exome/genome sequencing studies identified ADSS2 as an ASD candidate gene with a q-value < 0.1 (Du et al., 2019).",3,0,,0,,25363760,,31332282,26325558
AFF2,"AF4/FMR2 family, member 2",2334,"FMR2, FMR2P, FRAXE, MRX2, OX19",X,Xq28,P51816,300806,This gene encodes a putative transcriptional activator that is a member of the AF4FMR2 gene family. This gene is associated with the folate-sensitive fragile X E locus on chromosome X. A repeat polymorphism in the fragile X E locus results in silencing of this gene causing Fragile X E syndrome. Fragile X E syndrome is a form of nonsyndromic X-linked mental retardation. Alternate splicing results in multiple transcript variants.,Syndromic,"Rare mutations in the AFF2 gene have been identified with autism and ADHD (Abrams et al., 1997) as well as with X-linked intellectual disability (XLID) (Stettner et al., 2011) and developmental and speech delay (Sahoo et al., 2011). In addition, this gene has been associated with syndromic autism, where a subpopulation of individuals with a given syndrome develop autism. In particular, a rare mutation in the AFF2 gene has been identified with fragile X syndrome (Moore et al., 1999).",21,0,,0,,9034011,,22773736,"10424820,21739600,22065534,22511880,23020937,23092983,23352160,23352163,23849776,25035088,26544041,28263302,30555518,33023636,34800434,35431806,35741772,36973392,37007974"
AFF4,"AF4/FMR2 family, member 4",27125,"HSPC092, AF5Q31, MCEF",5,5q31.1,Q9UHB7,604417,May play a role in transcriptional regulation,Rare Single Gene variant,"Rare mutations in the AFF4 gene have been identified with autism (O'Roak et al., 2011; Sanders et al., 2012).",9,0,,0,,22495306,10588740,"20159561,21330300,22528490,25730767,26938441","34615535,35982159"
AGAP1,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 1",116987,"AGAP-1,CENTG2, GGAP1, cnt-g2",2,2q37.2,Q9UPQ3,608651,This gene encodes a member of an ADP-ribosylation factor GTPase-activating protein family involved in membrane trafficking and cytoskeleton dynamics. This gene functions as a direct regulator of the adaptor-related protein complex 3 on endosomes.,"Rare Single Gene variant, Genetic Association","Rare variants in the AGAP1 gene have been identified with autism (Wassink et al., 2005).",10,0,,0,,15892143,12388557,"15381706,16332543,27713690","24410847,25363768,25533962,35982159,37470098"
AGAP2,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 2",116986,"CENTG1, GGAP2, PIKE",12,12q14.1,Q99490,605476,The protein encoded by this gene belongs to the centaurin gamma-like family. It mediates anti-apoptotic effects of nerve growth factor by activating nuclear phosphoinositide 3-kinase.,Rare single gene variant,"De novo missense variants in the AGAP2 gene have previously been identified in ASD cases (De Rubeis et al., 2014; Iossifov et al., 2014). An additional de novo missense variant in this gene was identified by whole genome sequencing in an ASD proband from a multiplex family as part of the MSSNG initiative in Yuen et al., 2017. Based on the discovery of multiple de novo missense variants in ASD cases, a z-score >2.0 for missense mutations, and a higher-than expected mutation rate (a false discovery rate < 15%), AGAP2 was determined to be an ASD candidate gene in Yuen et al., 2017.",6,0,,0,,25363760,,28263302,"25363768,30564305,33432195,35982159"
AGAP5,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 5",729092,CTGLF2,10,10q22.2,A6NIR3,,Putative GTPase-activating protein.,Rare single gene variant,"Integration of familial whole-exome datasets of 3,531 individuals from 1,704 simplex ASD families and 50 multiplex ASD families and expression data from the BrainSpan Atlas of the Developmental Human Brain in Luo et al., 2020 identified a neurodevelopmentally co-regulated, sex-differentially expressed cluster of exons enriched with ASD-segregating deleterious variants in the AGAP5 gene (Bonferroni-corrected cluster P-value of 2.21E-03).",2,0,,0,,32778826,,,35982159
AGBL4,ATP/GTP binding protein-like 4,84871,"RP11-342A17.1, CCP6",1,1p33,Q5VU57,,Metallocarboxypeptidase that mediates deglutamylation of target proteins such as tubulins and MYLK.,Rare Single Gene variant,"Rare deletions involving the AGBL4 gene have been identified in individuals with ASD (Pinto et al., 2010).",3,0,,0,,20531469,,,"23275889,23632794"
AGMO,alkylglycerol monooxygenase,392636,"tcag7.1136, TMEM195",7,7p21.2,Q6ZNB7,613738,"The protein encoded by this gene is a tetrahydrobiopterin- and iron-dependent enzyme that cleaves the ether bond of alkylglycerols. Sequence comparisons distinguish this protein as forming a third, distinct class of tetrahydrobiopterin-dependent enzymes.",Genetic Association,"A rare CNV in the AGMO (TMEM195) gene has been identified with autism in AGRE, NIMH and additional cohorts (Sebat et al., 2007).",8,0,,0,,17363630,,,"20797689,23275889,25363760,27667684,31398340,32372567,37506195"
AGO1,"argonaute 1, RISC catalytic component",26523,"EIF2C, EIF2C1, GERP95, Q99, hAgo1",1,1p34.3,Q9UL18,606228,"This gene encodes a member of the argonaute family of proteins, which associate with small RNAs and have important roles in RNA interference (RNAi) and RNA silencing. This protein binds to microRNAs (miRNAs) or small interfering RNAs (siRNAs) and represses translation of mRNAs that are complementary to them. It is also involved in transcriptional gene silencing (TGS) of promoter regions that are complementary to bound short antigene RNAs (agRNAs), as well as in the degradation of miRNA-bound mRNA targets.",Rare single gene variant,"De novo missense variants that were predicted in silico to be damaging were observed in the AGO1 gene in an ASD proband from the Simons Simplex Collection (Iossifov et al., 2014) and an ASD proband from a cohort of 262 Japanese trios (Takata et al., 2018). TADA-Denovo analysis using a combined dataset of previously published cohorts from the Simons Simplex Collection and the Autism Sequencing Consortium, as well as the Japanese ASD cohort from Takata et al., 2018, identified AGO1 as a gene significantly enriched in damaging de novo mutations in ASD cases (pBH < 0.05).",15,0,,0,,25363768,,"29346770,30213762,34930816,35060114,38412125","23020937,25356899,27620904,31038196,35982159,36980980,37007974,37463579,37589173"
